team,season,points,yards,touchdown,field_goal,missed_fg,punt,turnovers,safety,total,end_of_period,blocked_punt,downs,blocked_fg,playoff
JAX,2006,274,4538,26,17,7,90,24,0,187,23,0,0,0,0
KC,2006,315,5262,32,26,6,75,30,0,182,13,0,0,0,1
LV,2006,332,4557,32,31,6,68,23,1,189,28,0,0,0,0
LAC,2006,303,4825,32,23,3,88,28,2,191,15,0,0,0,1
LAR,2006,381,5362,42,19,5,67,32,1,176,10,0,0,0,0
MIA,2006,283,4625,29,22,3,91,27,0,188,16,0,0,0,0
MIN,2006,327,4803,24,34,6,79,36,1,192,12,0,0,0,0
NE,2006,237,4710,21,22,8,79,35,1,182,16,0,0,0,1
NO,2006,322,4917,36,14,4,96,19,0,189,20,0,0,0,1
NYG,2006,362,5479,40,22,7,69,28,0,187,21,0,0,0,1
NYJ,2006,295,5306,33,18,6,74,25,0,182,26,0,0,0,1
PHI,2006,328,5249,29,26,2,82,29,0,186,18,0,0,0,1
PIT,2006,315,4805,30,21,6,86,29,0,188,16,0,0,0,0
SF,2006,412,5507,43,30,2,66,27,0,187,19,0,0,0,0
SEA,2006,341,5285,35,23,10,88,26,0,196,14,0,0,0,1
TB,2006,353,5271,37,22,8,81,20,0,186,18,0,0,0,0
TEN,2006,400,5915,44,27,6,68,28,0,189,16,0,0,0,0
WAS,2006,376,5688,39,30,4,79,12,1,179,14,0,0,0,0
ARI,2007,399,5283,39,28,5,73,29,1,192,17,0,0,0,0
ATL,2007,414,5688,39,28,2,74,28,0,187,16,0,0,0,0
BAL,2007,384,4825,36,37,6,76,23,1,196,17,0,0,0,0
BUF,2007,354,5807,34,27,3,61,30,1,172,16,0,0,0,0
CAR,2007,347,5197,35,27,5,76,30,0,192,19,0,0,0,0
CHI,2007,348,5675,36,25,8,94,33,0,214,18,0,0,0,0
CIN,2007,385,5580,40,25,2,58,35,0,181,21,0,0,0,0
CLE,2007,382,5753,37,32,3,69,27,0,187,19,0,0,0,0
DAL,2007,325,4922,31,25,6,73,29,0,182,18,0,0,0,1
DEN,2007,409,5376,39,27,6,60,30,2,176,12,0,0,0,0
DET,2007,444,6042,51,17,10,61,35,1,193,18,0,0,0,0
GB,2007,291,5013,29,24,3,80,28,0,182,18,0,0,0,1
HOU,2007,384,5507,40,28,5,59,25,0,175,18,0,0,0,0
IND,2007,262,4475,26,15,5,56,37,0,162,23,0,0,0,1
JAX,2007,304,5021,32,18,5,66,30,1,171,19,0,0,0,1
KC,2007,335,5111,28,34,5,84,22,1,193,19,0,0,0,0
LV,2007,398,5466,41,25,9,71,26,1,191,18,0,0,0,0
LAC,2007,284,5124,31,13,6,69,48,0,185,18,0,0,0,1
LAR,2007,438,5457,41,34,5,66,27,0,191,18,0,0,0,0
MIA,2007,437,5475,46,28,5,62,22,1,174,10,0,0,0,0
MIN,2007,311,5410,29,28,4,82,31,2,192,16,0,0,0,0
NE,2007,274,4613,30,12,2,76,31,0,175,24,0,0,0,1
NO,2007,388,5570,39,26,4,67,23,1,182,22,0,0,0,0
NYG,2007,351,4880,36,21,8,87,25,1,193,15,0,0,0,1
NYJ,2007,355,5310,32,29,3,68,21,0,169,16,0,0,0,0
PHI,2007,300,4982,26,31,7,76,19,0,187,28,0,0,0,0
PIT,2007,269,4262,28,18,4,82,25,0,175,18,0,0,0,1
SF,2007,364,5539,33,31,4,89,22,0,197,18,0,0,0,0
SEA,2007,291,5149,31,22,5,93,34,2,208,21,0,0,0,1
TB,2007,270,4451,29,15,3,83,35,1,182,16,0,0,0,1
TEN,2007,297,4665,32,18,7,81,34,0,183,11,0,0,0,1
WAS,2007,310,4884,30,27,10,81,24,1,193,20,0,0,0,1
ARI,2008,426,5304,49,21,6,61,30,0,181,14,0,0,0,1
ATL,2008,325,5566,37,20,5,76,18,0,178,22,0,0,0,1
BAL,2008,244,4177,21,21,1,92,34,0,195,26,0,0,0,1
BUF,2008,342,5217,32,34,7,64,22,1,179,19,0,0,0,0
CAR,2008,329,5299,33,24,4,80,25,0,185,19,0,0,0,1
CHI,2008,350,5355,37,26,7,83,32,0,207,22,0,0,0,0
CIN,2008,364,5208,38,22,1,79,24,0,184,20,0,0,0,0
CLE,2008,350,5704,35,19,9,59,31,0,171,18,0,0,0,0
